METADATA,,,,DATA,,,,,,,,,,,,14C,,,,,,
site_name,Zoige,,,depth,age_Loisel_et_al_2014,bulk_density_g_cm-3,org_mat_%,org_mat_density_g_OM_cm-3,C_content_%,N_content_%,org_C_density_g_C_cm-3,peat_type,peat_type_Loisel_et_al_2014,,,date_type,depth_cm,thickness_cm,uncal_date_BP,lab_uncertainty_yrs,material,labe_code
core_name,Zoige_core1,,,0.5,0,0.133,64.4,0.086,33.5,,0.045,Cyperaceae,2,,,14C,140.5,1,945,15,"Charcoal, 3 sedge seeds",UCIAMS-58979
investigator,Yan Zhao,,,1.5,6.139285714,0.149,59.3,0.088,30.8,,0.046,Cyperaceae,2,,,14C,210.5,1,1870,90,Charcoal,UCIAMS-58980
contact,zhaoyan@igsnrr.ac.cn,,,2.5,12.27857143,0.115,72.4,0.083,37.6,,0.043,Cyperaceae,2,,,14C,270.5,1,3160,20,"Charcoal, 1 charred wood",UCIAMS-58981
publication,Zhao et al. (2011) Quaternary Science Reviews,,,3.5,18.41785714,0.108,83,0.09,43.1,,0.047,Cyperaceae,2,,,14C,360.5,1,4790,20,Charcoal,UCIAMS-58982
,,,,4.5,24.55714286,0.101,82.9,0.084,43.1,,0.044,Cyperaceae,2,,,14C,430.5,1,5970,30,"Charcoal, 2 Sedge seeds",UCIAMS-58983
latitude,33.45,,,5.5,30.69642857,0.09,78.8,0.071,41,,0.037,Cyperaceae,2,,,14C,470.5,1,6420,50,Charcoal,UCIAMS-58984
longitude,102.63,,,6.5,36.83571429,0.095,79.2,0.075,41.2,,0.039,Cyperaceae,2,,,14C,507.5,1,4280,60,"Charcoal, 4 Sedge seeds",UCIAMS-58985
altitude,3467,,,7.5,42.975,0.065,86.5,0.056,45,,0.029,Cyperaceae,2,,,14C,577.5,1,9030,80,charcoal,UCIAMS-54697
country,China,,,8.5,49.11428571,0.064,83.5,0.054,43.4,,0.028,Cyperaceae,2,,,14C,640.5,1,8905,50,"Charcoal, 1 Sedge seed",UCIAMS-58986
continent,Eurasia,,,9.5,55.25357143,0.041,88.4,0.036,46,,0.019,Cyperaceae,2,,,,,,,,,
,,,,10.5,61.39285714,0.052,89,0.046,46.3,,0.024,Cyperaceae,2,,,,,,,,,
coring_year_AD,2008,,,11.5,67.53214286,0.068,90.2,0.062,46.9,,0.032,Cyperaceae,2,,,,,,,,,
core_length_cm,650,,,12.5,73.67142857,0.065,83.5,0.054,43.4,,0.028,Cyperaceae,2,,,,,,,,,
peatland_type,sedge_dominated_rich_fen,,,13.5,79.81071429,0.064,82.2,0.052,42.7,,0.027,Cyperaceae,2,,,,,,,,,
basal_age_depth_cm,640.5,,,14.5,85.95,0.1,75.6,0.076,39.3,,0.039,Cyperaceae,2,,,,,,,,,
basal_age_uncal,8905,,,15.5,92.08928571,0.093,76.3,0.071,39.7,,0.037,Cyperaceae,2,,,,,,,,,
basal_age_calBP,9996,,,16.5,98.22857143,0.088,80.4,0.071,41.8,,0.037,Cyperaceae,2,,,,,,,,,
n_dates,9,,,17.5,104.3678571,0.089,83.4,0.074,43.4,,0.038,Cyperaceae,2,,,,,,,,,
core_microtopography,n/a,,,18.5,110.5071429,0.097,82.1,0.079,42.7,,0.041,Cyperaceae,2,,,,,,,,,
,,,,19.5,116.6464286,0.132,78.8,0.104,41,,0.054,Cyperaceae,2,,,,,,,,,
carbon_rate_site,Y2,,,20.5,122.7857143,0.191,76,0.145,39.5,,0.076,Cyperaceae,2,,,,,,,,,
peat_properties_site,Y ,,,21.5,128.925,0.182,70.5,0.128,36.7,,0.067,Cyperaceae,2,,,,,,,,,
,,,,22.5,135.0642857,0.127,77.5,0.099,40.3,,0.051,Cyperaceae,2,,,,,,,,,
peat_properties_sample_size_cm-3,2,,,23.5,141.2035714,0.163,77.2,0.126,40.1,,0.065,Cyperaceae,2,,,,,,,,,
,,,,24.5,147.3428571,0.12,81.8,0.098,42.6,,0.051,Cyperaceae,2,,,,,,,,,
,,,,25.5,153.4821429,0.237,61.4,0.146,31.9,,0.076,Cyperaceae,2,,,,,,,,,
,,,,26.5,159.6214286,0.158,77,0.122,40,,0.063,Cyperaceae,2,,,,,,,,,
,,,,27.5,165.7607143,0.199,73,0.145,38,,0.075,Cyperaceae,2,,,,,,,,,
,,,,100.5,613.9285714,0.135,58.2,0.078,30.2,,0.041,Cyperaceae,2,,,,,,,,,
,,,,101.5,620.0678571,0.064,65.5,0.042,34.1,,0.022,Cyperaceae,2,,,,,,,,,
,,,,102.5,626.2071429,0.064,71.3,0.045,37.1,,0.024,Cyperaceae,2,,,,,,,,,
,,,,103.5,632.3464286,0.115,73.6,0.085,38.3,,0.044,Cyperaceae,2,,,,,,,,,
,,,,104.5,638.4857143,0.068,58.7,0.04,30.5,,0.021,Cyperaceae,2,,,,,,,,,
,,,,105.5,644.625,0.106,53.1,0.056,27.6,,0.029,Cyperaceae,2,,,,,,,,,
,,,,106.5,650.7642857,0.11,52.9,0.058,27.5,,0.03,Cyperaceae,2,,,,,,,,,
,,,,107.5,656.9035714,0.144,48.6,0.07,25.3,,0.036,Cyperaceae,2,,,,,,,,,
,,,,108.5,663.0428571,0.129,40.6,0.052,21.1,,0.027,Cyperaceae,2,,,,,,,,,
,,,,109.5,669.1821429,0.09,40.1,0.036,20.9,,0.019,Cyperaceae,2,,,,,,,,,
,,,,122.5,748.9928571,0.181,28.8,0.052,15,,0.027,Cyperaceae,2,,,,,,,,,
,,,,123.5,755.1321429,0.205,27.2,0.056,14.1,,0.029,Cyperaceae,2,,,,,,,,,
,,,,124.5,761.2714286,0.596,13.4,0.08,7,,0.041,Cyperaceae,2,,,,,,,,,
,,,,125.5,767.4107143,0.474,12.8,0.061,6.7,,0.032,Cyperaceae,2,,,,,,,,,
,,,,126.5,773.55,0.682,11.4,0.077,5.9,,0.04,Cyperaceae,2,,,,,,,,,
,,,,127.5,779.6892857,0.483,15.4,0.075,8,,0.039,Cyperaceae,2,,,,,,,,,
,,,,128.5,785.8285714,0.531,15.2,0.081,7.9,,0.042,Cyperaceae,2,,,,,,,,,
,,,,129.5,791.9678571,0.46,17.9,0.082,9.3,,0.043,Cyperaceae,2,,,,,,,,,
,,,,130.5,798.1071429,0.434,16.8,0.073,8.7,,0.038,Cyperaceae,2,,,,,,,,,
,,,,131.5,804.2464286,0.633,15.9,0.101,8.3,,0.052,Cyperaceae,2,,,,,,,,,
,,,,132.5,810.3857143,0.472,18.1,0.086,9.4,,0.045,Cyperaceae,2,,,,,,,,,
,,,,133.5,816.525,0.608,15,0.091,7.8,,0.047,Cyperaceae,2,,,,,,,,,
,,,,134.5,822.6642857,0.497,18.4,0.091,9.6,,0.048,Cyperaceae,2,,,,,,,,,
,,,,135.5,828.8035714,0.577,17.1,0.099,8.9,,0.051,Cyperaceae,2,,,,,,,,,
,,,,136.5,834.9428571,0.716,11.8,0.084,6.1,,0.044,Cyperaceae,2,,,,,,,,,
,,,,137.5,841.0821429,0.765,12.1,0.093,6.3,,0.048,Cyperaceae,2,,,,,,,,,
,,,,138.5,847.2214286,0.738,11.7,0.086,6.1,,0.045,Cyperaceae,2,,,,,,,,,
,,,,139.5,853.3607143,0.693,13,0.09,6.8,,0.047,Cyperaceae,2,,,,,,,,,
,,,,140.5,859.5,0.58,15.6,0.091,8.1,,0.047,Cyperaceae,2,,,,,,,,,
,,,,141.5,872.6857143,0.634,14.8,0.094,7.7,,0.049,Cyperaceae,2,,,,,,,,,
,,,,142.5,885.8714286,0.677,13,0.088,6.7,,0.046,Cyperaceae,2,,,,,,,,,
,,,,143.5,899.0571429,0.775,13.1,0.102,6.8,,0.053,Cyperaceae,2,,,,,,,,,
,,,,144.5,912.2428571,0.768,9.6,0.073,5,,0.038,Cyperaceae,2,,,,,,,,,
,,,,145.5,925.4285714,0.988,4.8,0.048,2.5,,0.025,Cyperaceae,2,,,,,,,,,
,,,,146.5,938.6142857,1.029,6.2,0.064,3.2,,0.033,Cyperaceae,2,,,,,,,,,
,,,,147.5,951.8,0.855,11.3,0.097,5.9,,0.05,Cyperaceae,2,,,,,,,,,
,,,,148.5,964.9857143,0.78,13.4,0.105,7,,0.054,Cyperaceae,2,,,,,,,,,
,,,,149.5,978.1714286,0.738,16.4,0.121,8.5,,0.063,Cyperaceae,2,,,,,,,,,
,,,,150.5,991.3571429,0.306,12.9,0.039,6.7,,0.02,Cyperaceae,2,,,,,,,,,
,,,,151.5,1004.542857,0.853,36.2,0.309,18.8,,0.161,Cyperaceae,2,,,,,,,,,
,,,,152.5,1017.728571,0.686,13,0.089,6.7,,0.046,Cyperaceae,2,,,,,,,,,
,,,,153.5,1030.914286,0.873,10.2,0.089,5.3,,0.046,Cyperaceae,2,,,,,,,,,
,,,,154.5,1044.1,0.626,9.6,0.06,5,,0.031,Cyperaceae,2,,,,,,,,,
,,,,155.5,1057.285714,0.801,8.6,0.069,4.5,,0.036,Cyperaceae,2,,,,,,,,,
,,,,156.5,1070.471429,0.957,6.8,0.065,3.6,,0.034,Cyperaceae,2,,,,,,,,,
,,,,157.5,1083.657143,1.078,4.2,0.046,2.2,,0.024,Cyperaceae,2,,,,,,,,,
,,,,158.5,1096.842857,0.925,3.4,0.031,1.8,,0.016,Cyperaceae,2,,,,,,,,,
,,,,159.5,1110.028571,0.974,4.5,0.044,2.3,,0.023,Cyperaceae,2,,,,,,,,,
,,,,160.5,1123.214286,0.979,6.6,0.065,3.4,,0.034,Cyperaceae,2,,,,,,,,,
,,,,161.5,1136.4,0.817,7,0.058,3.7,,0.03,Cyperaceae,2,,,,,,,,,
,,,,162.5,1149.585714,0.693,11.7,0.081,6.1,,0.042,Cyperaceae,2,,,,,,,,,
,,,,163.5,1162.771429,0.503,13.6,0.068,7.1,,0.035,Cyperaceae,2,,,,,,,,,
,,,,164.5,1175.957143,0.696,12.8,0.089,6.7,,0.046,Cyperaceae,2,,,,,,,,,
,,,,165.5,1189.142857,0.706,11.5,0.081,6,,0.042,Cyperaceae,2,,,,,,,,,
,,,,166.5,1202.328571,0.717,12.9,0.092,6.7,,0.048,Cyperaceae,2,,,,,,,,,
,,,,167.5,1215.514286,0.659,13.1,0.086,6.8,,0.045,Cyperaceae,2,,,,,,,,,
,,,,168.5,1228.7,0.818,13.2,0.108,6.9,,0.056,Cyperaceae,2,,,,,,,,,
,,,,169.5,1241.885714,0.767,13.2,0.101,6.9,,0.053,Cyperaceae,2,,,,,,,,,
,,,,170.5,1255.071429,0.484,18.2,0.088,9.4,,0.046,Cyperaceae,2,,,,,,,,,
,,,,171.5,1268.257143,0.361,29.3,0.106,15.2,,0.055,Cyperaceae,2,,,,,,,,,
,,,,172.5,1281.442857,0.196,43,0.084,22.4,,0.044,Cyperaceae,2,,,,,,,,,
,,,,173.5,1294.628571,0.185,56.8,0.105,29.6,,0.055,Cyperaceae,2,,,,,,,,,
,,,,174.5,1307.814286,0.232,42.2,0.098,21.9,,0.051,Cyperaceae,2,,,,,,,,,
,,,,175.5,1321,0.15,57.6,0.086,29.9,,0.045,Cyperaceae,2,,,,,,,,,
,,,,176.5,1334.185714,0.315,36.3,0.114,18.9,,0.06,Cyperaceae,2,,,,,,,,,
,,,,177.5,1347.371429,0.198,60.4,0.12,31.4,,0.062,Cyperaceae,2,,,,,,,,,
,,,,178.5,1360.557143,0.222,52.3,0.116,27.2,,0.06,Cyperaceae,2,,,,,,,,,
,,,,179.5,1373.742857,0.251,41.7,0.105,21.7,,0.054,Cyperaceae,2,,,,,,,,,
,,,,180.5,1386.928571,0.209,44.4,0.093,23.1,,0.048,Cyperaceae,2,,,,,,,,,
,,,,181.5,1400.114286,0.171,37.6,0.064,19.6,,0.033,Cyperaceae,2,,,,,,,,,
,,,,182.5,1413.3,0.147,60.5,0.089,31.5,,0.046,Cyperaceae,2,,,,,,,,,
,,,,183.5,1426.485714,0.13,61.5,0.08,32,,0.042,Cyperaceae,2,,,,,,,,,
,,,,184.5,1439.671429,0.147,72.8,0.107,37.8,,0.056,Cyperaceae,2,,,,,,,,,
,,,,185.5,1452.857143,0.126,63.5,0.08,33,,0.042,Cyperaceae,2,,,,,,,,,
,,,,186.5,1466.042857,0.124,76.3,0.095,39.7,,0.049,Cyperaceae,2,,,,,,,,,
,,,,187.5,1479.228571,0.111,66.4,0.074,34.5,,0.038,Cyperaceae,2,,,,,,,,,
,,,,188.5,1492.414286,0.165,61,0.101,31.7,,0.052,Cyperaceae,2,,,,,,,,,
,,,,189.5,1505.6,0.122,58.1,0.071,30.2,,0.037,Cyperaceae,2,,,,,,,,,
,,,,190.5,1518.785714,0.168,55.3,0.093,28.7,,0.048,Cyperaceae,2,,,,,,,,,
,,,,191.5,1531.971429,0.165,50.3,0.083,26.1,,0.043,Cyperaceae,2,,,,,,,,,
,,,,192.5,1545.157143,0.139,65.2,0.09,33.9,,0.047,Cyperaceae,2,,,,,,,,,
,,,,193.5,1558.342857,0.169,48.6,0.082,25.3,,0.043,Cyperaceae,2,,,,,,,,,
,,,,194.5,1571.528571,0.153,45.3,0.069,23.5,,0.036,Cyperaceae,2,,,,,,,,,
,,,,195.5,1584.714286,0.185,56.6,0.105,29.4,,0.054,Cyperaceae,2,,,,,,,,,
,,,,196.5,1597.9,0.141,65.4,0.092,34,,0.048,Cyperaceae,2,,,,,,,,,
,,,,197.5,1611.085714,0.182,55.1,0.1,28.6,,0.052,Cyperaceae,2,,,,,,,,,
,,,,198.5,1624.271429,0.194,44.1,0.086,22.9,,0.045,Cyperaceae,2,,,,,,,,,
,,,,199.5,1637.457143,0.21,43.3,0.091,22.5,,0.047,Cyperaceae,2,,,,,,,,,
,,,,200.5,1650.642857,0.349,23.6,0.082,12.3,,0.043,Cyperaceae,2,,,,,,,,,
,,,,201.5,1663.828571,0.269,28.3,0.076,14.7,,0.04,Cyperaceae,2,,,,,,,,,
,,,,202.5,1677.014286,0.164,56.9,0.093,29.6,,0.049,Cyperaceae,2,,,,,,,,,
,,,,203.5,1690.2,0.188,51,0.096,26.5,,0.05,Cyperaceae,2,,,,,,,,,
,,,,204.5,1703.385714,0.226,46.1,0.104,24,,0.054,Cyperaceae,2,,,,,,,,,
,,,,205.5,1716.571429,0.185,58.2,0.108,30.3,,0.056,Cyperaceae,2,,,,,,,,,
,,,,206.5,1729.757143,0.16,58.7,0.094,30.5,,0.049,Cyperaceae,2,,,,,,,,,
,,,,207.5,1742.942857,0.155,59.2,0.092,30.8,,0.048,Cyperaceae,2,,,,,,,,,
