METADATA,,,,DATA,,,,,,,,,,,,14C,,,,,,
site_name,Mosaik,,,depth,age_Loisel_et_al_2014,bulk_density_g_cm-3,org_mat_%,org_mat_density_g_OM_cm-3,C_content_%,N_content_%,org_C_density_g_C_cm-3,peat_type,peat_type_Loisel_et_al_2014,,,date_type,depth_cm,thickness_cm,uncal_date_BP,lab_uncertainty_yrs,material,labe_code
core_name,Mosaik_coreCentral,,,0.5,0,0.056,98.2,0.055,,,0.027,Sphagnum,1,,,14C,40.5,1,355,15,Sphagnum stems,UCIAMS-57424
investigator,Simon van Bellen,,,3.5,30.15,0.051,98.4,0.051,,,0.025,Sphagnum,1,,,14C,70.5,1,1270,25,Sphagnum stems,UCIAMS-54958
contact,simon.van-bellen@abdn.ac.uk,,,5.5,50.25,0.048,98.3,0.047,,,0.023,Sphagnum,1,,,14C,95.5,1,1990,20,Sphagnum stems,UCIAMS-64586
publication,van Bellen et al. (2011) The Holocene,,,7.5,70.35,0.038,99.5,0.037,,,0.018,Sphagnum,1,,,14C,108.5,1,2065,25,Sphagnum stems,UCIAMS-67515
,,,,9.5,90.45,0.038,98.7,0.038,,,0.018,Sphagnum,1,,,14C,120.5,1,2225,25,Sphagnum stems,UCIAMS-54959
latitude,51.98,,,11.5,110.55,0.041,98.8,0.040,,,0.020,Sphagnum,1,,,14C,136.5,1,2490,20,Sphagnum stems,UCIAMS-64588
longitude,-75.40,,,13.5,130.65,0.044,98.4,0.043,,,0.021,Sphagnum,1,,,14C,172.5,1,3275,25,Sphagnum stems,UCIAMS-54960
altitude,297.00,,,15.5,150.75,0.057,98.1,0.056,,,0.027,Sphagnum,1,,,14C,224.5,1,4185,25,Sphagnum stems,UCIAMS-54961
country,Canada,,,16.5,160.8,0.058,98.5,0.057,,,0.028,Sphagnum,1,,,14C,246.5,1,4740,15,Sphagnum stems,UCIAMS-57426
continent,North America,,,17.5,170.85,0.074,98.1,0.072,,,0.035,Sphagnum,1,,,14C,296.5,1,6200,40,Sphagnum stems,Beta-223744
,,,,18.5,180.9,0.055,98.4,0.054,,,0.027,Sphagnum,1,,,,,,,,,
coring_year_AD,2006,,,19.5,190.95,0.054,98.1,0.053,,,0.026,Sphagnum,1,,,,,,,,,
core_length_cm,300,,,20.5,201,0.050,99.2,0.049,,,0.024,Sphagnum,1,,,,,,,,,
peatland_type,bog,,,21.5,211.05,0.053,97.4,0.052,,,0.026,Sphagnum,1,,,,,,,,,
basal_age_depth_cm,296.5,,,22.5,221.1,0.039,98.5,0.039,,,0.019,Sphagnum,1,,,,,,,,,
basal_age_uncal,6200,,,23.5,231.15,0.050,98.0,0.049,,,0.024,Sphagnum,1,,,,,,,,,
basal_age_calBP,7120,,,24.5,241.2,0.050,98.2,0.049,,,0.024,Sphagnum,1,,,,,,,,,
n_dates,10,,,25.5,251.25,0.050,98.6,0.049,,,0.024,Ericaceae-Sphagnum,3,,,,,,,,,
core_microtopography,lawn,,,26.5,261.3,0.051,98.1,0.050,,,0.025,Ericaceae-Sphagnum,3,,,,,,,,,
,,,,27.5,271.35,0.044,98.2,0.044,,,0.021,Ericaceae-Sphagnum,3,,,,,,,,,
carbon_rate_site,Y3,,,28.5,281.4,0.069,97.7,0.068,,,0.033,Ericaceae-Sphagnum,3,,,,,,,,,
peat_properties_site,Y,,,29.5,291.45,0.074,97.1,0.071,,,0.035,Ericaceae-Sphagnum,3,,,,,,,,,
,,,,30.5,301.5,0.070,98.1,0.068,,,0.034,Ericaceae-Sphagnum,3,,,,,,,,,
peat_properties_sample_size_cm-3,1,,,31.5,311.55,0.071,98.5,0.070,,,0.034,Ericaceae-Sphagnum,3,,,,,,,,,
,,,,32.5,321.6,0.072,98.6,0.071,,,0.035,Ericaceae-Sphagnum,3,,,,,,,,,
,,,,33.5,331.65,0.079,98.7,0.078,,,0.038,Ericaceae-Sphagnum,3,,,,,,,,,
,,,,34.5,341.7,0.072,99.2,0.071,,,0.035,Ericaceae-Sphagnum,3,,,,,,,,,
,,,,35.5,351.75,0.085,99.1,0.084,,,0.041,Ericaceae-Sphagnum,3,,,,,,,,,
,,,,36.5,361.8,0.062,99.4,0.061,,,0.030,Ericaceae-Sphagnum,3,,,,,,,,,
,,,,37.5,371.85,0.079,98.4,0.078,,,0.038,Ericaceae-Sphagnum,3,,,,,,,,,
,,,,38.5,381.9,0.083,98.4,0.082,,,0.040,Ericaceae-Sphagnum,3,,,,,,,,,
,,,,39.5,391.95,0.083,98.9,0.082,,,0.040,Ericaceae-Sphagnum,3,,,,,,,,,
,,,,40.5,402,0.077,99.2,0.077,,,0.038,Ericaceae-Sphagnum,3,,,,,,,,,
,,,,41.5,429.1166667,0.070,99.4,0.070,,,0.034,Ericaceae-Sphagnum,3,,,,,,,,,
,,,,42.5,456.2333333,0.078,98.7,0.077,,,0.038,Ericaceae-Sphagnum,3,,,,,,,,,
,,,,43.5,483.35,0.075,98.5,0.073,,,0.036,Ericaceae-Sphagnum,3,,,,,,,,,
,,,,44.5,510.4666667,0.069,98.7,0.068,,,0.033,Ericaceae-Sphagnum,3,,,,,,,,,
,,,,45.5,537.5833333,0.072,98.8,0.071,,,0.035,Ericaceae-Sphagnum,3,,,,,,,,,
,,,,46.5,564.7,0.072,99.2,0.072,,,0.035,Ericaceae-Sphagnum,3,,,,,,,,,
,,,,47.5,591.8166667,0.068,99.6,0.067,,,0.033,Ericaceae-Sphagnum,3,,,,,,,,,
,,,,48.5,618.9333333,0.072,98.6,0.071,,,0.035,Ericaceae-Sphagnum,3,,,,,,,,,
,,,,49.5,646.05,0.073,98.6,0.072,,,0.035,Ericaceae-Sphagnum,3,,,,,,,,,
,,,,50.5,673.1666667,0.072,99.0,0.072,,,0.035,Ericaceae-Sphagnum,3,,,,,,,,,
,,,,51.5,700.2833333,0.070,99.3,0.069,,,0.034,Ericaceae-Sphagnum,3,,,,,,,,,
,,,,52.5,727.4,0.071,99.0,0.070,,,0.034,Ericaceae-Sphagnum,3,,,,,,,,,
,,,,53.5,754.5166667,0.076,99.3,0.075,,,0.037,Ericaceae-Sphagnum,3,,,,,,,,,
,,,,54.5,781.6333333,0.064,99.7,0.064,,,0.031,Ericaceae-Sphagnum,3,,,,,,,,,
